what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1510890115390
executed,command,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1510890116899
executed,command,org.eclipse.ui,3.106.0.v20140519-0906,"org.eclipse.ui.file.save",1510890117479
deactivated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890118983
activated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890159897
activated,editor,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.CompilationUnitEditor",1510890161413
activated,editor,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.CompilationUnitEditor",1510890162162
activated,editor,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.CompilationUnitEditor",1510890163760
executed,command,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1510890165844
executed,command,org.eclipse.ui,3.106.0.v20140519-0906,"org.eclipse.ui.file.save",1510890166418
activated,view,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.PackageExplorer",1510890167132
opened,editor,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.CompilationUnitEditor",1510890167351
activated,editor,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.CompilationUnitEditor",1510890167409
deactivated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890186413
activated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890231702
deactivated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890233176
activated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890273379
deactivated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890274290
activated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890294068
deactivated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890294570
activated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890303416
deactivated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890305116
activated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890355044
started,bundle,org.eclipse.jdt.junit,3.7.300.v20140418-0836,"org.eclipse.jdt.junit",1510890358860
started,bundle,org.eclipse.pde.api.tools,1.0.600.v20140520-1809,"org.eclipse.pde.api.tools",1510890358907
started,bundle,org.eclipse.pde.api.tools.ui,1.0.500.v20140512-1548,"org.eclipse.pde.api.tools.ui",1510890358923
executed,command,org.eclipse.ui,3.106.0.v20140519-0906,"org.eclipse.ui.file.save",1510890362051
executed,command,org.eclipse.ui,3.106.0.v20140519-0906,"org.eclipse.ui.file.save",1510890409621
deactivated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890410541
activated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890442912
executed,command,org.eclipse.ui,3.106.0.v20140519-0906,"org.eclipse.ui.edit.paste",1510890443681
deactivated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890449736
activated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890449840
deactivated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890456737
activated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890458620
deactivated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890460252
activated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890474741
executed,command,org.eclipse.ui,3.106.0.v20140519-0906,"org.eclipse.ui.file.save",1510890478721
deactivated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890482491
activated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890496694
executed,command,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1510890504427
executed,command,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1510890517421
executed,command,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1510890527942
executed,command,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1510890529890
executed,command,org.eclipse.ui,3.106.0.v20140519-0906,"org.eclipse.ui.file.save",1510890530350
activated,editor,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.CompilationUnitEditor",1510890532736
executed,command,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1510890534876
executed,command,org.eclipse.ui,3.106.0.v20140519-0906,"org.eclipse.ui.file.save",1510890535362
deactivated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890536844
activated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890539054
deactivated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890540564
